Htno,Subcode,Subname,Grade,Credits
20L31A5437,1005201201,Computer Organization,C,3
20L31A5437,1005201202,Web Design,C,3
20L31A5437,1005201203,Data Structures,C,3
20L31A5437,1005201211,Web Design Lab,O,1.5
20L31A5437,1005201212,Data Structures Lab,B,1.5
20L31A5437,1000201213,Physics of Materials Lab,O,1.5
20L31A5437,1000201214,R Programming for Data Science Lab,A,1.5
20L31A5437,1000201121,Constitution of India,CP,-
20L31A5438,1000201205,Statistics for Data Science-I,B,3
20L31A5438,1005201201,Computer Organization,B,3
20L31A5438,1005201202,Web Design,B,3
20L31A5438,1005201203,Data Structures,A,3
20L31A5438,1005201211,Web Design Lab,O,1.5
20L31A5438,1005201212,Data Structures Lab,O,1.5
20L31A5438,1000201213,Physics of Materials Lab,O,1.5
20L31A5438,1000201214,R Programming for Data Science Lab,A,1.5
20L31A5438,1000201121,Constitution of India,CP,-
20L31A5439,1000201205,Statistics for Data Science-I,O,3
20L31A5439,1005201201,Computer Organization,A,3
20L31A5439,1005201202,Web Design,C,3
20L31A5439,1005201203,Data Structures,B,3
20L31A5439,1005201211,Web Design Lab,O,1.5
20L31A5439,1005201212,Data Structures Lab,B,1.5
20L31A5439,1000201213,Physics of Materials Lab,A,1.5
20L31A5439,1000201214,R Programming for Data Science Lab,O,1.5
20L31A5439,1000201121,Constitution of India,CP,-
20L31A5440,1000201205,Statistics for Data Science-I,B,3
20L31A5440,1005201201,Computer Organization,D,3
20L31A5440,1005201202,Web Design,C,3
20L31A5440,1005201203,Data Structures,D,3
20L31A5440,1005201211,Web Design Lab,O,1.5
20L31A5440,1005201212,Data Structures Lab,B,1.5
20L31A5440,1000201213,Physics of Materials Lab,O,1.5
20L31A5440,1000201214,R Programming for Data Science Lab,A,1.5
20L31A5440,1000201121,Constitution of India,CP,-
Htno,Subcode,Subname,Grade,Credits
20L31A5441,1000201205,Statistics for Data Science-I,B,3
20L31A5441,1005201201,Computer Organization,F,0
20L31A5441,1005201202,Web Design,D,3
20L31A5441,1005201203,Data Structures,D,3
20L31A5441,1005201211,Web Design Lab,O,1.5
20L31A5441,1005201212,Data Structures Lab,C,1.5
20L31A5441,1000201213,Physics of Materials Lab,O,1.5
20L31A5441,1000201214,R Programming for Data Science Lab,O,1.5
20L31A5441,1000201121,Constitution of India,CP,-
20L31A5442,1000201205,Statistics for Data Science-I,B,3
20L31A5442,1005201201,Computer Organization,C,3
20L31A5442,1005201202,Web Design,B,3
20L31A5442,1005201203,Data Structures,B,3
20L31A5442,1005201211,Web Design Lab,A,1.5
20L31A5442,1005201212,Data Structures Lab,A,1.5
20L31A5442,1000201213,Physics of Materials Lab,A,1.5
20L31A5442,1000201214,R Programming for Data Science Lab,O,1.5
20L31A5442,1000201121,Constitution of India,CP,-
20L31A5443,1000201205,Statistics for Data Science-I,A,3
20L31A5443,1005201201,Computer Organization,B,3
20L31A5443,1005201202,Web Design,B,3
20L31A5443,1005201203,Data Structures,B,3
20L31A5443,1005201211,Web Design Lab,A,1.5
20L31A5443,1005201212,Data Structures Lab,A,1.5
20L31A5443,1000201213,Physics of Materials Lab,O,1.5
20L31A5443,1000201214,R Programming for Data Science Lab,A,1.5
20L31A5443,1000201121,Constitution of India,CP,-
20L31A5444,1000201205,Statistics for Data Science-I,O,3
20L31A5444,1005201201,Computer Organization,D,3
20L31A5444,1005201202,Web Design,B,3
20L31A5444,1005201203,Data Structures,A,3
20L31A5444,1005201211,Web Design Lab,A,1.5
20L31A5444,1005201212,Data Structures Lab,A,1.5
20L31A5444,1000201213,Physics of Materials Lab,A,1.5
20L31A5444,1000201214,R Programming for Data Science Lab,A,1.5
20L31A5444,1000201121,Constitution of India,CP,-
20L31A5445,1000201205,Statistics for Data Science-I,D,3
20L31A5445,1005201201,Computer Organization,F,0
20L31A5445,1005201202,Web Design,D,3
20L31A5445,1005201203,Data Structures,D,3
20L31A5445,1005201211,Web Design Lab,C,1.5
20L31A5445,1005201212,Data Structures Lab,B,1.5
20L31A5445,1000201213,Physics of Materials Lab,D,1.5
20L31A5445,1000201214,R Programming for Data Science Lab,A,1.5
20L31A5445,1000201121,Constitution of India,CP,-
20L31A5446,1000201205,Statistics for Data Science-I,F,0
20L31A5446,1005201201,Computer Organization,D,3
20L31A5446,1005201202,Web Design,C,3
20L31A5446,1005201203,Data Structures,C,3
20L31A5446,1005201211,Web Design Lab,A,1.5
20L31A5446,1005201212,Data Structures Lab,C,1.5
Htno,Subcode,Subname,Grade,Credits
20L31A5446,1000201213,Physics of Materials Lab,O,1.5
20L31A5446,1000201214,R Programming for Data Science Lab,A,1.5
20L31A5446,1000201121,Constitution of India,CP,-
20L31A5447,1000201205,Statistics for Data Science-I,A,3
20L31A5447,1005201201,Computer Organization,C,3
20L31A5447,1005201202,Web Design,D,3
20L31A5447,1005201203,Data Structures,B,3
20L31A5447,1005201211,Web Design Lab,A,1.5
20L31A5447,1005201212,Data Structures Lab,B,1.5
20L31A5447,1000201213,Physics of Materials Lab,O,1.5
20L31A5447,1000201214,R Programming for Data Science Lab,A,1.5
20L31A5447,1000201121,Constitution of India,CP,-
20L31A5448,1000201205,Statistics for Data Science-I,F,0
20L31A5448,1005201201,Computer Organization,C,3
20L31A5448,1005201202,Web Design,D,3
20L31A5448,1005201203,Data Structures,D,3
20L31A5448,1005201211,Web Design Lab,B,1.5
20L31A5448,1005201212,Data Structures Lab,C,1.5
20L31A5448,1000201213,Physics of Materials Lab,O,1.5
20L31A5448,1000201214,R Programming for Data Science Lab,A,1.5
20L31A5448,1000201121,Constitution of India,CP,-
20L31A5449,1000201205,Statistics for Data Science-I,B,3
20L31A5449,1005201201,Computer Organization,B,3
20L31A5449,1005201202,Web Design,C,3
20L31A5449,1005201203,Data Structures,C,3
20L31A5449,1005201211,Web Design Lab,B,1.5
20L31A5449,1005201212,Data Structures Lab,B,1.5
20L31A5449,1000201213,Physics of Materials Lab,O,1.5
20L31A5449,1000201214,R Programming for Data Science Lab,A,1.5
20L31A5449,1000201121,Constitution of India,CP,-
20L31A5450,1000201205,Statistics for Data Science-I,O,3
20L31A5450,1005201201,Computer Organization,A,3
20L31A5450,1005201202,Web Design,B,3
20L31A5450,1005201203,Data Structures,A,3
20L31A5450,1005201211,Web Design Lab,O,1.5
20L31A5450,1005201212,Data Structures Lab,A,1.5
20L31A5450,1000201213,Physics of Materials Lab,O,1.5
20L31A5450,1000201214,R Programming for Data Science Lab,A,1.5
20L31A5450,1000201121,Constitution of India,CP,-
20L31A5451,1000201205,Statistics for Data Science-I,C,3
20L31A5451,1005201201,Computer Organization,B,3
20L31A5451,1005201202,Web Design,B,3
20L31A5451,1005201203,Data Structures,B,3
20L31A5451,1005201211,Web Design Lab,O,1.5
20L31A5451,1005201212,Data Structures Lab,B,1.5
20L31A5451,1000201213,Physics of Materials Lab,A,1.5
20L31A5451,1000201214,R Programming for Data Science Lab,A,1.5
20L31A5451,1000201121,Constitution of India,CP,-
20L31A5452,1000201205,Statistics for Data Science-I,O,3
20L31A5452,1005201201,Computer Organization,A,3
20L31A5452,1005201202,Web Design,A,3
Htno,Subcode,Subname,Grade,Credits
20L31A5452,1005201203,Data Structures,A,3
20L31A5452,1005201211,Web Design Lab,O,1.5
20L31A5452,1005201212,Data Structures Lab,A,1.5
20L31A5452,1000201213,Physics of Materials Lab,O,1.5
20L31A5452,1000201214,R Programming for Data Science Lab,A,1.5
20L31A5452,1000201121,Constitution of India,CP,-
20L31A5453,1000201205,Statistics for Data Science-I,D,3
20L31A5453,1005201201,Computer Organization,F,0
20L31A5453,1005201202,Web Design,C,3
20L31A5453,1005201203,Data Structures,C,3
20L31A5453,1005201211,Web Design Lab,A,1.5
20L31A5453,1005201212,Data Structures Lab,B,1.5
20L31A5453,1000201213,Physics of Materials Lab,A,1.5
20L31A5453,1000201214,R Programming for Data Science Lab,A,1.5
20L31A5453,1000201121,Constitution of India,CP,-
20L31A5454,1000201205,Statistics for Data Science-I,O,3
20L31A5454,1005201201,Computer Organization,A,3
20L31A5454,1005201202,Web Design,B,3
20L31A5454,1005201203,Data Structures,A,3
20L31A5454,1005201211,Web Design Lab,O,1.5
20L31A5454,1005201212,Data Structures Lab,O,1.5
20L31A5454,1000201213,Physics of Materials Lab,O,1.5
20L31A5454,1000201214,R Programming for Data Science Lab,A,1.5
20L31A5454,1000201121,Constitution of India,CP,-
20L31A5455,1000201205,Statistics for Data Science-I,O,3
20L31A5455,1005201201,Computer Organization,A,3
20L31A5455,1005201202,Web Design,B,3
20L31A5455,1005201203,Data Structures,A,3
20L31A5455,1005201211,Web Design Lab,O,1.5
20L31A5455,1005201212,Data Structures Lab,A,1.5
20L31A5455,1000201213,Physics of Materials Lab,O,1.5
20L31A5455,1000201214,R Programming for Data Science Lab,A,1.5
20L31A5455,1000201121,Constitution of India,CP,-
20L31A5456,1000201205,Statistics for Data Science-I,F,0
20L31A5456,1005201201,Computer Organization,F,0
20L31A5456,1005201202,Web Design,D,3
20L31A5456,1005201203,Data Structures,F,0
20L31A5456,1005201211,Web Design Lab,A,1.5
20L31A5456,1005201212,Data Structures Lab,C,1.5
20L31A5456,1000201213,Physics of Materials Lab,O,1.5
20L31A5456,1000201214,R Programming for Data Science Lab,A,1.5
20L31A5456,1000201121,Constitution of India,CP,-
20L31A5457,1000201205,Statistics for Data Science-I,O,3
20L31A5457,1005201201,Computer Organization,A,3
20L31A5457,1005201202,Web Design,B,3
20L31A5457,1005201203,Data Structures,B,3
20L31A5457,1005201211,Web Design Lab,O,1.5
20L31A5457,1005201212,Data Structures Lab,B,1.5
20L31A5457,1000201213,Physics of Materials Lab,O,1.5
20L31A5457,1000201214,R Programming for Data Science Lab,O,1.5
20L31A5457,1000201121,Constitution of India,CP,-
Htno,Subcode,Subname,Grade,Credits
20L31A5458,1000201205,Statistics for Data Science-I,O,3
20L31A5458,1005201201,Computer Organization,C,3
20L31A5458,1005201202,Web Design,C,3
20L31A5458,1005201203,Data Structures,A,3
20L31A5458,1005201211,Web Design Lab,O,1.5
20L31A5458,1005201212,Data Structures Lab,B,1.5
20L31A5458,1000201213,Physics of Materials Lab,O,1.5
20L31A5458,1000201214,R Programming for Data Science Lab,A,1.5
20L31A5458,1000201121,Constitution of India,CP,-
20L31A5459,1000201205,Statistics for Data Science-I,C,3
20L31A5459,1005201201,Computer Organization,D,3
20L31A5459,1005201202,Web Design,C,3
20L31A5459,1005201203,Data Structures,B,3
20L31A5459,1005201211,Web Design Lab,A,1.5
20L31A5459,1005201212,Data Structures Lab,B,1.5
20L31A5459,1000201213,Physics of Materials Lab,O,1.5
20L31A5459,1000201214,R Programming for Data Science Lab,A,1.5
20L31A5459,1000201121,Constitution of India,CP,-
20L31A5460,1000201205,Statistics for Data Science-I,A,3
20L31A5460,1005201201,Computer Organization,C,3
20L31A5460,1005201202,Web Design,D,3
20L31A5460,1005201203,Data Structures,B,3
20L31A5460,1005201211,Web Design Lab,A,1.5
20L31A5460,1005201212,Data Structures Lab,O,1.5
20L31A5460,1000201213,Physics of Materials Lab,A,1.5
20L31A5460,1000201214,R Programming for Data Science Lab,O,1.5
20L31A5460,1000201121,Constitution of India,CP,-
20L31A5461,1000201205,Statistics for Data Science-I,B,3
20L31A5461,1005201201,Computer Organization,A,3
20L31A5461,1005201202,Web Design,C,3
